KV Budget,Method,NrtvQA,Qasper,MF-en,HotpotQA,2WikiMQA,MuSiQue,GovReport,QMSum,MultiNews,TREC,TriviaQA,SAMSum,LCC,RB-P,PCount,PRe,Avg.
Full,Full KV,30.21,45.53,55.01,56.01,46.65,31.28,35.13,25.28,27.25,73.00,91.64,43.80,63.38,56.64,8.91,99.50,49.33
512,SnapKV,30.09,41.62,53.89,54.77,45.12,31.22,27.37,24.16,24.86,71.00,91.90,42.43,61.53,52.49,8.62,99.50,47.54
512,AdaKV,30.16,40.11,54.13,54.27,44.73,31.19,27.08,23.82,24.39,71.00,91.90,41.64,60.54,53.15,8.12,99.50,47.23
512,HeadKV,30.17,44.03,54.29,54.71,46.10,31.58,31.14,24.46,26.66,73.00,91.72,42.17,62.89,55.71,8.33,99.50,48.53
512,GemFilter,18.52,22.15,37.73,46.88,32.56,24.52,27.05,17.75,23.25,60.50,89.49,40.16,27.35,31.02,3.53,52.00,34.65
512,FastKV,30.28,41.08,55.50,54.35,46.69,30.89,26.81,24.01,24.38,72.50,92.04,42.67,63.99,54.94,7.06,99.50,47.92
1024,SnapKV,31.23,42.52,53.96,55.48,45.43,31.50,29.54,24.78,26.17,70.50,91.73,42.52,62.25,54.72,7.96,99.50,48.11
1024,AdaKV,30.83,44.33,54.54,55.86,45.39,31.96,28.70,24.67,26.10,71.50,91.48,42.40,61.71,54.81,8.06,99.50,48.24
1024,HeadKV,30.55,44.66,54.69,55.47,46.20,31.63,32.88,25.14,27.10,73.00,91.57,42.88,63.76,56.06,8.36,99.50,48.97
1024,GemFilter,19.34,34.76,46.58,46.82,42.83,27.51,29.89,18.96,25.68,63.00,90.70,42.50,38.09,35.14,3.82,86.50,40.76
1024,FastKV,30.25,44.01,54.72,54.78,46.56,30.59,29.38,24.54,26.23,73.50,91.76,42.58,63.99,57.32,6.86,99.50,48.54
2048,SnapKV,31.31,44.96,55.15,55.48,45.29,30.78,31.92,24.63,26.97,71.50,91.48,43.38,63.14,56.04,8.21,99.50,48.73
2048,AdaKV,31.03,45.39,55.22,55.10,45.88,30.31,30.96,24.46,26.93,72.00,91.65,43.76,63.02,56.10,8.18,99.50,48.72
2048,HeadKV,30.53,44.99,54.98,55.47,46.08,31.42,32.41,25.05,27.20,72.50,91.57,42.84,63.45,56.75,7.99,99.50,48.92
2048,GemFilter,23.64,41.17,51.39,53.97,45.32,29.24,32.01,20.50,26.91,70.00,91.59,42.59,47.35,38.91,6.88,95.50,44.81
2048,FastKV,30.38,45.35,54.82,55.11,46.57,30.46,31.16,24.73,26.84,73.50,91.48,43.62,64.84,58.20,6.65,99.50,48.95
